date,open_price,high_price,low_price,close_price,volume,company_id
2024-05-28,428.0,429.186,424.981,428.688,15777872.823233,2
2024-05-29,424.075,429.306,424.075,427.542,15576213.888054,2
2024-05-30,422.691,422.691,412.669,413.097,28533079.029899,2
2024-05-31,415.169,415.169,402.975,413.555,48177999.38588,2
2024-06-03,413.948,414.851,407.373,411.951,17551250.621933,2
2024-06-04,410.866,414.861,408.121,414.491,14403552.735199,2
2024-06-05,416.225,422.471,414.721,422.402,17052722.599243,2
2024-06-06,422.402,423.697,418.984,422.909,14917837.52666,2
2024-06-07,424.583,424.663,421.396,422.242,13673516.552881,2
2024-06-10,423.089,426.456,422.282,426.247,14056352.731832,2
2024-06-11,423.862,431.178,423.637,431.039,14606506.582253,2
2024-06-12,433.669,441.718,431.607,439.387,22451395.913939,2
2024-06-13,439.178,441.708,437.704,439.905,16021337.335847,2
2024-06-14,436.612,441.456,435.064,440.891,13633700.522219,2
2024-06-17,440.906,449.23,439.048,446.669,20869191.275646,2
2024-06-18,447.999,448.432,443.203,444.647,17177662.522914,2
2024-06-20,444.607,444.837,439.596,444.009,19953064.211082,2
2024-06-21,445.683,448.871,444.817,448.074,34617483.468413,2
2024-06-24,448.094,451.032,444.717,445.972,15974312.962409,2
2024-06-25,446.55,449.708,445.055,449.24,16811297.823785,2
2024-06-26,447.297,451.879,446.49,450.444,16569883.086404,2
2024-06-27,450.459,454.439,450.056,451.132,14862701.383557,2
2024-06-28,451.352,453.653,444.717,445.255,28470264.762037,2
2024-07-01,446.958,455.635,443.969,454.997,17730071.929137,2
2024-07-02,451.481,457.847,451.394,457.538,14033009.184799,2
2024-07-03,456.452,459.272,456.143,459.022,9970650.7964862,2
2024-07-05,457.867,466.573,457.224,465.787,16061213.594968,2
2024-07-08,464.781,465.926,462.698,464.471,13011677.055075,2
2024-07-09,465.229,465.557,456.263,457.797,17294107.222395,2
2024-07-10,459.47,464.691,457.114,464.481,18265384.483369,2
2024-07-11,461.224,463.017,449.838,452.975,23199174.39657,2
2024-07-12,452.602,454.629,448.935,451.83,16386431.214484,2
2024-07-15,451.58,455.525,449.718,452.238,14484389.36571,2
2024-07-16,452.497,452.577,444.965,447.815,17241078.071561,2
2024-07-17,440.911,443.163,437.514,441.838,21836852.821444,2
2024-07-18,442.655,442.963,432.752,438.7,20874001.521932,2
2024-07-19,431.457,439.466,430.362,435.452,21020150.897559,2
2024-07-22,440.114,442.913,437.248,441.26,15868949.295639,2
2024-07-23,442.211,446.689,441.419,443.163,13156957.133273,2
2024-07-24,438.78,439.806,425.963,427.273,26907867.256406,2
2024-07-25,427.174,428.17,415.926,416.813,30057810.660866,2
2024-07-26,416.614,427.288,415.687,423.657,23673638.13833,2
2024-07-29,429.943,430.51,423.093,425.111,15183429.975236,2
2024-07-30,426.097,427.422,415.777,421.316,32812041.041768,2
2024-07-31,418.9,420.175,410.646,416.763,43054681.55302,2
2024-08-01,419.189,425.839,411.523,415.528,30411758.259294,2
2024-08-02,410.925,413.425,402.807,406.94,29549989.3869,2
