date,open_price,high_price,low_price,close_price,volume,company_id
2024-07-15,207.19,211.61,206.72,210.05,10719670,4
2024-07-16,210.0,213.74,208.08,213.62,11557018,4
2024-07-17,213.8,217.56,213.27,216.87,11572470,4
2024-07-18,215.63,216.635,209.235,209.98,12415125,4
2024-07-19,211.2,212.35,208.92,209.78,8095898,4
2024-07-22,210.46,212.17,209.71,210.28,7663223,4
2024-07-23,211.02,211.475,209.3527,210.33,5557262,4
2024-07-24,209.55,212.03,208.07,208.59,7118957,4
2024-07-25,208.65,210.19,208.05,208.67,6403774,4
2024-07-26,209.24,213.16,208.62,212.24,8027787,4
2024-07-29,212.65,213.61,210.545,210.85,6533636,4
2024-07-30,213.23,215.79,212.96,215.19,8850705,4
2024-07-31,214.78,216.39,212.67,212.8,9071637,4
2024-08-01,213.2,213.83,206.38,207.96,10918644,4
2024-08-02,203.88,204.67,196.89,199.14,18041676,4
2024-08-05,194.05,196.1699,190.9,194.9,13926997,4
2024-08-06,195.4,202.6,194.0,200.34,10605780,4
2024-08-07,203.51,205.75,200.2,200.4,9204434,4
2024-08-08,202.47,204.91,201.79,204.06,7761199,4
2024-08-09,203.47,206.47,202.9,205.8,5540240,4
2024-08-12,206.41,207.14,203.66,206.19,6935954,4
2024-08-13,207.73,208.09,205.4,207.94,6387942,4
2024-08-14,207.74,210.755,207.12,210.24,6999809,4
2024-08-15,213.0,213.89,211.1,211.55,7001005,4
2024-08-16,211.69,214.09,211.585,213.97,7931234,4
2024-08-19,214.0,215.53,213.82,215.45,6090818,4
2024-08-20,215.0,216.0,213.68,214.52,5640223,4
2024-08-21,214.43,215.0,212.84,214.6,5202472,4
2024-08-22,214.58,216.8,214.335,216.63,5247098,4
2024-08-23,217.6,219.19,216.5,218.31,7213981,4
2024-08-26,219.01,219.68,218.05,219.17,5105245,4
2024-08-27,219.51,220.42,219.19,220.18,5185221,4
2024-08-28,219.25,222.21,219.19,221.29,6506402,4
2024-08-29,222.15,222.98,218.94,222.21,6416149,4
2024-08-30,222.5,225.48,221.93,224.8,8574128,4
2024-09-03,222.3,224.1,219.24,220.3,8956089,4
2024-09-04,221.04,222.07,217.21,219.33,7389474,4
2024-09-05,220.15,220.8,216.03,217.63,8067874,4
2024-09-06,217.6,218.74,211.09,212.46,7776998,4
2024-09-09,215.19,218.15,214.175,216.81,8935074,4
2024-09-10,218.6,218.64,200.61,205.56,28406903,4
2024-09-11,205.25,207.7,201.831,207.23,13658743,4
2024-09-12,207.65,208.78,204.89,206.6,9055756,4
2024-09-13,206.86,207.8482,203.02,204.32,10226694,4
2024-09-16,205.83,208.21,205.59,207.86,8634936,4
2024-09-17,207.73,209.93,207.66,209.25,7573345,4
2024-09-18,209.01,211.3361,206.7,207.53,8259876,4
2024-09-19,209.78,211.91,207.34,210.48,11635168,4
2024-09-20,209.93,211.415,209.5,211.09,20884974,4
2024-09-23,211.0,211.8,209.99,211.44,7223491,4
2024-09-24,211.15,212.95,210.37,211.59,7323239,4
2024-09-25,211.68,212.24,208.61,210.19,8976520,4
2024-09-26,211.13,211.7,209.01,209.78,7807480,4
2024-09-27,210.65,212.44,209.33,210.5,7032450,4
2024-09-30,206.31,210.96,205.26,210.86,8668314,4
2024-10-01,208.9,209.09,206.19,207.04,8540064,4
2024-10-02,207.08,208.95,205.69,207.29,5810931,4
2024-10-03,206.17,206.49,204.34,205.23,7251325,4
2024-10-04,209.3,211.67,206.91,211.22,10213415,4
2024-10-07,211.03,213.33,209.69,210.93,6718898,4
2024-10-08,210.58,211.33,208.38,210.75,6021772,4
2024-10-09,209.7,214.24,209.38,213.42,7023998,4
2024-10-10,214.81,214.81,211.47,212.84,7927051,4
2024-10-11,215.67,224.6299,215.16,222.29,18320650,4
2024-10-14,223.2,223.7,218.88,221.48,9048925,4
2024-10-15,223.66,225.45,221.82,222.39,9235825,4
2024-10-16,222.33,223.68,221.04,223.64,6382515,4
2024-10-17,224.27,225.85,223.31,224.42,6470186,4
2024-10-18,225.0,225.92,223.1,225.37,7000543,4
2024-10-21,225.22,225.7,222.9,223.0,5869959,4
2024-10-22,223.02,225.28,221.1,224.12,9586793,4
2024-10-23,223.66,224.7999,222.53,223.41,6180528,4
2024-10-24,221.83,225.06,221.66,224.98,6002202,4
2024-10-25,225.0,225.62,220.875,222.31,6369720,4
